date,opponent/venue,result,sets,mp,attend,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
10/03/2019,New Orleans,3-0,3.0,1.0,0,43.0,12.0,111.0,0.279,37.0,4.0,5.0,42.0,4.0,2.0,14.0,0.0,56.0,2.0,New Orleans
10/05/2019,Southeastern La.,3-0,3.0,1.0,0,48.0,14.0,133.0,0.256,45.0,0.0,2.0,58.0,2.0,0.0,12.0,0.0,54.0,0.0,Southeastern La.
10/10/2019,Houston Christian,3-2,5.0,1.0,0,56.0,28.0,213.0,0.131,49.0,7.0,3.0,98.0,4.0,3.0,22.0,1.0,77.0,2.0,Houston Christian
10/12/2019,Lamar University,3-0,3.0,1.0,0,40.0,13.0,113.0,0.239,35.0,3.0,5.0,43.0,2.0,5.0,12.0,0.0,54.0,1.0,Lamar University
10/17/2019,@ A&M-Corpus Christi,1-3,4.0,1.0,0,54.0,18.0,142.0,0.254,53.0,3.0,7.0,56.0,3.0,1.0,16.0,3.0,66.0,1.0,A&M-Corpus Christi
10/19/2019,@ UIW,3-0,3.0,1.0,0,51.0,18.0,118.0,0.28,44.0,5.0,4.0,50.0,6.0,4.0,2.0,0.0,61.0,0.0,UIW
10/24/2019,McNeese,2-3,5.0,1.0,0,66.0,29.0,182.0,0.203,60.0,3.0,3.0,83.0,5.0,2.0,18.0,0.0,80.0,1.0,McNeese
10/26/2019,Nicholls,3-0,3.0,1.0,0,42.0,10.0,122.0,0.262,33.0,6.0,7.0,63.0,1.0,0.0,12.0,0.0,54.0,0.0,Nicholls
10/31/2019,@ SFA,1-3,4.0,1.0,0,57.0,32.0,196.0,0.128,54.0,3.0,6.0,102.0,3.0,4.0,6.0,1.0,67.0,0.0,SFA
11/02/2019,@ Abilene Christian,3-2,5.0,1.0,0,70.0,32.0,198.0,0.192,63.0,4.0,6.0,89.0,2.0,0.0,22.0,2.0,85.0,3.0,Abilene Christian
11/07/2019,Northwestern St.,3-2,5.0,1.0,0,62.0,25.0,203.0,0.182,60.0,1.0,8.0,113.0,7.0,1.0,18.0,1.0,73.0,0.0,Northwestern St.
11/09/2019,Central Ark.,2-3,5.0,1.0,0,60.0,20.0,177.0,0.226,55.0,4.0,5.0,65.0,5.0,4.0,24.0,3.0,80.0,5.0,Central Ark.
11/14/2019,@ New Orleans,3-1,4.0,1.0,0,68.0,21.0,141.0,0.333,61.0,8.0,5.0,60.0,6.0,2.0,6.0,4.0,81.0,1.0,New Orleans
11/16/2019,@ Southeastern La.,3-2,5.0,1.0,0,65.0,28.0,178.0,0.208,60.0,7.0,8.0,84.0,6.0,6.0,8.0,1.0,82.0,5.0,Southeastern La.
11/22/2019,"Southeastern La. @ Conway, AR",3-2,5.0,1.0,0,65.0,31.0,171.0,0.199,59.0,1.0,5.0,80.0,3.0,2.0,21.0,0.0,78.5,3.0,Southeastern La.
11/23/2019,"Northwestern St. @ Conway, AR",3-1,4.0,1.0,0,61.0,17.0,172.0,0.256,57.0,4.0,9.0,73.0,5.0,2.0,8.0,0.0,71.0,1.0,Northwestern St.
11/24/2019,"SFA @ Conway, AR",1-3,4.0,1.0,0,59.0,26.0,162.0,0.204,57.0,2.0,4.0,68.0,5.0,1.0,9.0,2.0,66.5,2.0,SFA
12/05/2019,"Houston @ Arlington, TX",3-1,4.0,1.0,0,48.0,26.0,143.0,0.154,47.0,6.0,7.0,71.0,7.0,0.0,14.0,0.0,61.0,1.0,Houston
12/06/2019,@ UT Arlington,0-3,3.0,1.0,0,42.0,24.0,119.0,0.151,39.0,1.0,6.0,40.0,1.0,1.0,8.0,0.0,48.0,0.0,UT Arlington
